AUDUSD,EURCHF,EURNOK,EURSEK,EURUSD,GBPUSD,NZDUSD,USDCAD,USDJPY
0.66425,1.5561,8.2703,9.152,1.129,1.6016,0.5854,1.3679,117.52
0.66518,1.5573,8.2673,9.1567,1.1296,1.6012,0.58615,1.366,117.53
0.66635,1.557,8.2795,9.1518,1.1304,1.6021,0.58635,1.3662,117.42
0.66658,1.5573,8.2817,9.1503,1.1302,1.6021,0.5864,1.3652,117.4
0.66645,1.5576,8.2783,9.143,1.1302,1.6029,0.5877,1.3656,117.37
0.66615,1.5574,8.2745,9.16,1.1294,1.6014,0.587,1.3666,117.45
0.66615,1.5567,8.276,9.1545,1.1303,1.6015,0.587,1.3659,117.47
0.66615,1.5566,8.2765,9.154,1.1301,1.602,0.58685,1.3657,117.47
0.66642,1.5575,8.2753,9.155,1.1302,1.6019,0.5874,1.3656,117.47
0.66562,1.5576,8.275,9.1537,1.128,1.6012,0.5868,1.3663,117.49
0.66532,1.5575,8.2737,9.1537,1.128,1.6014,0.58685,1.3668,117.51
0.66562,1.5578,8.2737,9.1537,1.1286,1.6009,0.587,1.3663,117.47
0.66522,1.5576,8.2725,9.1537,1.1281,1.6009,0.5869,1.3667,117.48
0.66508,1.5575,8.271,9.1537,1.1286,1.6014,0.58705,1.3666,117.44
0.66515,1.5575,8.271,9.1537,1.1283,1.601,0.587,1.3663,117.43
0.66542,1.5575,8.2725,9.1525,1.1283,1.6012,0.5873,1.3665,117.44
0.66552,1.5575,8.2725,9.1525,1.1285,1.602,0.5875,1.3667,117.44
0.66542,1.5575,8.2725,9.1475,1.1279,1.602,0.58735,1.3669,117.42
0.66468,1.5576,8.2725,9.1475,1.1282,1.6019,0.5868,1.3668,117.41
0.66595,1.5578,8.2725,9.1475,1.1281,1.6025,0.58745,1.3673,117.34
0.66652,1.5581,8.2725,9.1475,1.1288,1.6047,0.58885,1.3676,117.31
0.66642,1.5581,8.2725,9.1475,1.1298,1.6051,0.5886,1.3671,117.32
0.66613,1.5581,8.2725,9.1475,1.1306,1.6055,0.5888,1.3655,117.27
0.66612,1.5581,8.2705,9.1475,1.1308,1.6053,0.5888,1.366,117.22
